
=== joint_distill_mse ===
Command:
/home/medcvr/miniconda3/envs/vsmae/bin/python3.10 /home/medcvr/Desktop/hamza/multicam-vit/MultiModalViT/pretrain_vtmae_joint_distill.py --env_name button-press-topdown-v3 --camera_names gripperPOV corner2 corner3 --frame_stack 3 --action_repeat 2 --patch_size 6 --batch_size 32 --log_every 100 --save_every 1000 --vis_every 10000 --steps 50000 --distill_mode mse --out /home/medcvr/Desktop/hamza/multicam-vit/MultiModalViT/seq_runs2/joint_distill_mse_20260404_002915/vtmae_joint_distill_mse_50000.pt --preview_dir /home/medcvr/Desktop/hamza/multicam-vit/MultiModalViT/seq_runs2/joint_distill_mse_20260404_002915/previews
[JOINT-3CAM] channels=9, views=3, size=(84,84)
[JOINT-3CAM] cameras=['gripperPOV', 'corner2', 'corner3']
[JOINT-3CAM] steps=50000 distill_mode=mse single_recon=1 warmup=0
VT-MAE: Multi-view ViT patch tokeniser (3-view dynamic masking)
[Params] total=4,860,244 trainable=4,860,244
[Weights] full_recon=1.0 single_recon=1.0 distill=1.0
[2700/50000] total=0.0115 ema=0.0130 full=0.0049 single=0.0066 distill=0.0000 distill_scale=1.000 single_recon_enabled=1 full_v0=0.0079 full_v1=0.0023 full_v2=0.0044 single_by_cam[cam0=0.0058 cam1=0.0071 cam2=0.0068] distill_by_cam[cam0=0.0000 cam1=0.0000 cam2=0.0000]
[2800/50000] total=0.0118 ema=0.0132 full=0.0049 single=0.0069 distill=0.0001 distill_scale=1.000 single_recon_enabled=1 full_v0=0.0079 full_v1=0.0020 full_v2=0.0047 single_by_cam[cam0=0.0060 cam1=0.0075 cam2=0.0071] distill_by_cam[cam0=0.0001 cam1=0.0001 cam2=0.0001]
[2900/50000] total=0.0114 ema=0.0130 full=0.0046 single=0.0068 distill=0.0000 distill_scale=1.000 single_recon_enabled=1 full_v0=0.0069 full_v1=0.0023 full_v2=0.0046 single_by_cam[cam0=0.0058 cam1=0.0075 cam2=0.0071] distill_by_cam[cam0=0.0000 cam1=0.0000 cam2=0.0000]
[3000/50000] total=0.0133 ema=0.0130 full=0.0055 single=0.0077 distill=0.0000 distill_scale=1.000 single_recon_enabled=1 full_v0=0.0082 full_v1=0.0027 full_v2=0.0057 single_by_cam[cam0=0.0068 cam1=0.0084 cam2=0.0079] distill_by_cam[cam0=0.0000 cam1=0.0001 cam2=0.0001]
[3100/50000] total=0.0169 ema=0.0126 full=0.0063 single=0.0104 distill=0.0002 distill_scale=1.000 single_recon_enabled=1 full_v0=0.0079 full_v1=0.0037 full_v2=0.0074 single_by_cam[cam0=0.0084 cam1=0.0117 cam2=0.0111] distill_by_cam[cam0=0.0000 cam1=0.0002 cam2=0.0002]
[3200/50000] total=0.0109 ema=0.0123 full=0.0042 single=0.0067 distill=0.0000 distill_scale=1.000 single_recon_enabled=1 full_v0=0.0059 full_v1=0.0019 full_v2=0.0047 single_by_cam[cam0=0.0052 cam1=0.0076 cam2=0.0072] distill_by_cam[cam0=0.0000 cam1=0.0000 cam2=0.0001]
[3300/50000] total=0.0106 ema=0.0125 full=0.0043 single=0.0062 distill=0.0001 distill_scale=1.000 single_recon_enabled=1 full_v0=0.0051 full_v1=0.0024 full_v2=0.0054 single_by_cam[cam0=0.0056 cam1=0.0067 cam2=0.0064] distill_by_cam[cam0=0.0001 cam1=0.0001 cam2=0.0001]
[3400/50000] total=0.0157 ema=0.0119 full=0.0055 single=0.0098 distill=0.0004 distill_scale=1.000 single_recon_enabled=1 full_v0=0.0076 full_v1=0.0028 full_v2=0.0062 single_by_cam[cam0=0.0068 cam1=0.0115 cam2=0.0110] distill_by_cam[cam0=0.0001 cam1=0.0005 cam2=0.0006]
[3500/50000] total=0.0235 ema=0.0135 full=0.0097 single=0.0135 distill=0.0002 distill_scale=1.000 single_recon_enabled=1 full_v0=0.0062 full_v1=0.0131 full_v2=0.0098 single_by_cam[cam0=0.0136 cam1=0.0133 cam2=0.0137] distill_by_cam[cam0=0.0001 cam1=0.0003 cam2=0.0003]
[3600/50000] total=0.0119 ema=0.0146 full=0.0049 single=0.0070 distill=0.0000 distill_scale=1.000 single_recon_enabled=1 full_v0=0.0045 full_v1=0.0029 full_v2=0.0074 single_by_cam[cam0=0.0065 cam1=0.0075 cam2=0.0070] distill_by_cam[cam0=0.0000 cam1=0.0000 cam2=0.0001]
[3700/50000] total=0.0127 ema=0.0130 full=0.0051 single=0.0076 distill=0.0001 distill_scale=1.000 single_recon_enabled=1 full_v0=0.0072 full_v1=0.0029 full_v2=0.0052 single_by_cam[cam0=0.0066 cam1=0.0083 cam2=0.0079] distill_by_cam[cam0=0.0001 cam1=0.0001 cam2=0.0001]
[3800/50000] total=0.0091 ema=0.0120 full=0.0036 single=0.0055 distill=0.0000 distill_scale=1.000 single_recon_enabled=1 full_v0=0.0040 full_v1=0.0021 full_v2=0.0048 single_by_cam[cam0=0.0047 cam1=0.0061 cam2=0.0056] distill_by_cam[cam0=0.0000 cam1=0.0001 cam2=0.0001]
[3900/50000] total=0.0150 ema=0.0117 full=0.0061 single=0.0089 distill=0.0001 distill_scale=1.000 single_recon_enabled=1 full_v0=0.0100 full_v1=0.0032 full_v2=0.0051 single_by_cam[cam0=0.0075 cam1=0.0097 cam2=0.0094] distill_by_cam[cam0=0.0000 cam1=0.0001 cam2=0.0001]
[4000/50000] total=0.0113 ema=0.0115 full=0.0038 single=0.0072 distill=0.0003 distill_scale=1.000 single_recon_enabled=1 full_v0=0.0047 full_v1=0.0021 full_v2=0.0046 single_by_cam[cam0=0.0049 cam1=0.0086 cam2=0.0082] distill_by_cam[cam0=0.0000 cam1=0.0004 cam2=0.0004]
[4100/50000] total=0.0084 ema=0.0113 full=0.0032 single=0.0049 distill=0.0003 distill_scale=1.000 single_recon_enabled=1 full_v0=0.0034 full_v1=0.0019 full_v2=0.0044 single_by_cam[cam0=0.0043 cam1=0.0055 cam2=0.0051] distill_by_cam[cam0=0.0000 cam1=0.0004 cam2=0.0004]
[4200/50000] total=0.0106 ema=0.0113 full=0.0039 single=0.0066 distill=0.0001 distill_scale=1.000 single_recon_enabled=1 full_v0=0.0064 full_v1=0.0016 full_v2=0.0037 single_by_cam[cam0=0.0048 cam1=0.0077 cam2=0.0074] distill_by_cam[cam0=0.0000 cam1=0.0001 cam2=0.0001]
[4300/50000] total=0.0151 ema=0.0113 full=0.0053 single=0.0094 distill=0.0003 distill_scale=1.000 single_recon_enabled=1 full_v0=0.0072 full_v1=0.0036 full_v2=0.0052 single_by_cam[cam0=0.0065 cam1=0.0111 cam2=0.0108] distill_by_cam[cam0=0.0000 cam1=0.0005 cam2=0.0005]
[4400/50000] total=0.0105 ema=0.0111 full=0.0037 single=0.0067 distill=0.0002 distill_scale=1.000 single_recon_enabled=1 full_v0=0.0054 full_v1=0.0017 full_v2=0.0039 single_by_cam[cam0=0.0046 cam1=0.0079 cam2=0.0076] distill_by_cam[cam0=0.0000 cam1=0.0002 cam2=0.0002]
[4500/50000] total=0.0081 ema=0.0111 full=0.0032 single=0.0048 distill=0.0001 distill_scale=1.000 single_recon_enabled=1 full_v0=0.0035 full_v1=0.0021 full_v2=0.0041 single_by_cam[cam0=0.0042 cam1=0.0052 cam2=0.0049] distill_by_cam[cam0=0.0000 cam1=0.0001 cam2=0.0002]
