
=== joint_single_recon_up ===
Command:
/home/medcvr/miniconda3/envs/vsmae/bin/python3.10 /home/medcvr/Desktop/hamza/multicam-vit/MultiModalViT/pretrain_vtmae_joint_distill.py --env_name button-press-topdown-v3 --camera_names gripperPOV corner2 corner3 --frame_stack 3 --action_repeat 2 --patch_size 6 --batch_size 32 --log_every 100 --save_every 1000 --vis_every 10000 --steps 50000 --single_recon_weight 1.5 --out /home/medcvr/Desktop/hamza/multicam-vit/MultiModalViT/seq_runs2/joint_single_recon_w1p5_20260404_002915/vtmae_joint_single_recon_w1p5_50000.pt --preview_dir /home/medcvr/Desktop/hamza/multicam-vit/MultiModalViT/seq_runs2/joint_single_recon_w1p5_20260404_002915/previews
[JOINT-3CAM] channels=9, views=3, size=(84,84)
[JOINT-3CAM] cameras=['gripperPOV', 'corner2', 'corner3']
[JOINT-3CAM] steps=50000 distill_mode=cosine single_recon=1 warmup=0
VT-MAE: Multi-view ViT patch tokeniser (3-view dynamic masking)
[Params] total=4,860,244 trainable=4,860,244
[Weights] full_recon=1.0 single_recon=1.5 distill=1.0
[2700/50000] total=0.0143 ema=0.0162 full=0.0046 single=0.0065 distill=0.0000 distill_scale=1.000 single_recon_enabled=1 full_v0=0.0070 full_v1=0.0023 full_v2=0.0045 single_by_cam[cam0=0.0055 cam1=0.0071 cam2=0.0067] distill_by_cam[cam0=0.0000 cam1=0.0001 cam2=0.0000]
[2800/50000] total=0.0169 ema=0.0182 full=0.0053 single=0.0077 distill=0.0000 distill_scale=1.000 single_recon_enabled=1 full_v0=0.0070 full_v1=0.0035 full_v2=0.0055 single_by_cam[cam0=0.0068 cam1=0.0083 cam2=0.0080] distill_by_cam[cam0=0.0000 cam1=0.0000 cam2=0.0000]
[2900/50000] total=0.0144 ema=0.0171 full=0.0043 single=0.0067 distill=0.0001 distill_scale=1.000 single_recon_enabled=1 full_v0=0.0062 full_v1=0.0023 full_v2=0.0046 single_by_cam[cam0=0.0057 cam1=0.0074 cam2=0.0070] distill_by_cam[cam0=0.0000 cam1=0.0001 cam2=0.0001]
[3000/50000] total=0.0167 ema=0.0166 full=0.0054 single=0.0075 distill=0.0001 distill_scale=1.000 single_recon_enabled=1 full_v0=0.0077 full_v1=0.0027 full_v2=0.0057 single_by_cam[cam0=0.0066 cam1=0.0083 cam2=0.0078] distill_by_cam[cam0=0.0000 cam1=0.0001 cam2=0.0001]
[3100/50000] total=0.0213 ema=0.0160 full=0.0060 single=0.0100 distill=0.0003 distill_scale=1.000 single_recon_enabled=1 full_v0=0.0073 full_v1=0.0036 full_v2=0.0072 single_by_cam[cam0=0.0080 cam1=0.0112 cam2=0.0107] distill_by_cam[cam0=0.0000 cam1=0.0004 cam2=0.0004]
[3200/50000] total=0.0137 ema=0.0156 full=0.0042 single=0.0063 distill=0.0000 distill_scale=1.000 single_recon_enabled=1 full_v0=0.0059 full_v1=0.0019 full_v2=0.0047 single_by_cam[cam0=0.0052 cam1=0.0071 cam2=0.0067] distill_by_cam[cam0=0.0000 cam1=0.0000 cam2=0.0000]
[3300/50000] total=0.0135 ema=0.0159 full=0.0041 single=0.0062 distill=0.0001 distill_scale=1.000 single_recon_enabled=1 full_v0=0.0048 full_v1=0.0023 full_v2=0.0052 single_by_cam[cam0=0.0054 cam1=0.0068 cam2=0.0064] distill_by_cam[cam0=0.0000 cam1=0.0001 cam2=0.0001]
[3400/50000] total=0.0199 ema=0.0152 full=0.0054 single=0.0094 distill=0.0004 distill_scale=1.000 single_recon_enabled=1 full_v0=0.0072 full_v1=0.0027 full_v2=0.0062 single_by_cam[cam0=0.0067 cam1=0.0111 cam2=0.0105] distill_by_cam[cam0=0.0000 cam1=0.0006 cam2=0.0006]
[3500/50000] total=0.0181 ema=0.0153 full=0.0055 single=0.0083 distill=0.0001 distill_scale=1.000 single_recon_enabled=1 full_v0=0.0050 full_v1=0.0036 full_v2=0.0080 single_by_cam[cam0=0.0076 cam1=0.0091 cam2=0.0083] distill_by_cam[cam0=0.0000 cam1=0.0001 cam2=0.0001]
[3600/50000] total=0.0151 ema=0.0150 full=0.0047 single=0.0069 distill=0.0001 distill_scale=1.000 single_recon_enabled=1 full_v0=0.0042 full_v1=0.0028 full_v2=0.0072 single_by_cam[cam0=0.0062 cam1=0.0074 cam2=0.0069] distill_by_cam[cam0=0.0000 cam1=0.0001 cam2=0.0001]
[3700/50000] total=0.0167 ema=0.0166 full=0.0052 single=0.0076 distill=0.0001 distill_scale=1.000 single_recon_enabled=1 full_v0=0.0075 full_v1=0.0030 full_v2=0.0051 single_by_cam[cam0=0.0066 cam1=0.0083 cam2=0.0079] distill_by_cam[cam0=0.0001 cam1=0.0001 cam2=0.0001]
[3800/50000] total=0.0120 ema=0.0155 full=0.0037 single=0.0055 distill=0.0001 distill_scale=1.000 single_recon_enabled=1 full_v0=0.0040 full_v1=0.0022 full_v2=0.0048 single_by_cam[cam0=0.0048 cam1=0.0062 cam2=0.0057] distill_by_cam[cam0=0.0000 cam1=0.0001 cam2=0.0001]
[3900/50000] total=0.0195 ema=0.0151 full=0.0061 single=0.0089 distill=0.0000 distill_scale=1.000 single_recon_enabled=1 full_v0=0.0102 full_v1=0.0032 full_v2=0.0051 single_by_cam[cam0=0.0075 cam1=0.0098 cam2=0.0094] distill_by_cam[cam0=0.0000 cam1=0.0000 cam2=0.0000]
[4000/50000] total=0.0149 ema=0.0148 full=0.0038 single=0.0072 distill=0.0003 distill_scale=1.000 single_recon_enabled=1 full_v0=0.0046 full_v1=0.0021 full_v2=0.0047 single_by_cam[cam0=0.0049 cam1=0.0086 cam2=0.0082] distill_by_cam[cam0=0.0000 cam1=0.0004 cam2=0.0004]
[4100/50000] total=0.0106 ema=0.0144 full=0.0031 single=0.0049 distill=0.0000 distill_scale=1.000 single_recon_enabled=1 full_v0=0.0032 full_v1=0.0019 full_v2=0.0043 single_by_cam[cam0=0.0042 cam1=0.0055 cam2=0.0051] distill_by_cam[cam0=0.0000 cam1=0.0001 cam2=0.0001]
[4200/50000] total=0.0138 ema=0.0146 full=0.0038 single=0.0066 distill=0.0002 distill_scale=1.000 single_recon_enabled=1 full_v0=0.0060 full_v1=0.0017 full_v2=0.0037 single_by_cam[cam0=0.0046 cam1=0.0078 cam2=0.0074] distill_by_cam[cam0=0.0000 cam1=0.0002 cam2=0.0002]
[4300/50000] total=0.0200 ema=0.0148 full=0.0054 single=0.0095 distill=0.0002 distill_scale=1.000 single_recon_enabled=1 full_v0=0.0076 full_v1=0.0036 full_v2=0.0052 single_by_cam[cam0=0.0068 cam1=0.0111 cam2=0.0107] distill_by_cam[cam0=0.0000 cam1=0.0003 cam2=0.0003]
[4400/50000] total=0.0137 ema=0.0144 full=0.0036 single=0.0066 distill=0.0001 distill_scale=1.000 single_recon_enabled=1 full_v0=0.0053 full_v1=0.0017 full_v2=0.0038 single_by_cam[cam0=0.0045 cam1=0.0079 cam2=0.0075] distill_by_cam[cam0=0.0000 cam1=0.0001 cam2=0.0001]
[4500/50000] total=0.0102 ema=0.0142 full=0.0031 single=0.0048 distill=0.0000 distill_scale=1.000 single_recon_enabled=1 full_v0=0.0031 full_v1=0.0020 full_v2=0.0040 single_by_cam[cam0=0.0041 cam1=0.0053 cam2=0.0049] distill_by_cam[cam0=0.0000 cam1=0.0000 cam2=0.0000]
[4600/50000] total=0.0118 ema=0.0140 full=0.0036 single=0.0054 distill=0.0000 distill_scale=1.000 single_recon_enabled=1 full_v0=0.0040 full_v1=0.0024 full_v2=0.0043 single_by_cam[cam0=0.0048 cam1=0.0059 cam2=0.0056] distill_by_cam[cam0=0.0000 cam1=0.0001 cam2=0.0001]
[4700/50000] total=0.0112 ema=0.0138 full=0.0032 single=0.0053 distill=0.0000 distill_scale=1.000 single_recon_enabled=1 full_v0=0.0038 full_v1=0.0018 full_v2=0.0041 single_by_cam[cam0=0.0042 cam1=0.0060 cam2=0.0056] distill_by_cam[cam0=0.0000 cam1=0.0001 cam2=0.0001]
[4800/50000] total=0.0151 ema=0.0140 full=0.0035 single=0.0075 distill=0.0004 distill_scale=1.000 single_recon_enabled=1 full_v0=0.0042 full_v1=0.0019 full_v2=0.0044 single_by_cam[cam0=0.0046 cam1=0.0092 cam2=0.0088] distill_by_cam[cam0=0.0000 cam1=0.0006 cam2=0.0006]
[4900/50000] total=0.0133 ema=0.0139 full=0.0040 single=0.0062 distill=0.0001 distill_scale=1.000 single_recon_enabled=1 full_v0=0.0038 full_v1=0.0027 full_v2=0.0054 single_by_cam[cam0=0.0052 cam1=0.0069 cam2=0.0064] distill_by_cam[cam0=0.0000 cam1=0.0001 cam2=0.0001]
[5000/50000] total=0.0194 ema=0.0144 full=0.0054 single=0.0093 distill=0.0002 distill_scale=1.000 single_recon_enabled=1 full_v0=0.0081 full_v1=0.0032 full_v2=0.0049 single_by_cam[cam0=0.0071 cam1=0.0105 cam2=0.0101] distill_by_cam[cam0=0.0000 cam1=0.0002 cam2=0.0002]
[5100/50000] total=0.0141 ema=0.0144 full=0.0032 single=0.0069 distill=0.0005 distill_scale=1.000 single_recon_enabled=1 full_v0=0.0033 full_v1=0.0018 full_v2=0.0045 single_by_cam[cam0=0.0042 cam1=0.0086 cam2=0.0081] distill_by_cam[cam0=0.0000 cam1=0.0008 cam2=0.0008]
[5200/50000] total=0.0100 ema=0.0138 full=0.0029 single=0.0047 distill=0.0000 distill_scale=1.000 single_recon_enabled=1 full_v0=0.0031 full_v1=0.0018 full_v2=0.0037 single_by_cam[cam0=0.0038 cam1=0.0053 cam2=0.0050] distill_by_cam[cam0=0.0000 cam1=0.0001 cam2=0.0001]
[5300/50000] total=0.0140 ema=0.0140 full=0.0042 single=0.0064 distill=0.0000 distill_scale=1.000 single_recon_enabled=1 full_v0=0.0033 full_v1=0.0030 full_v2=0.0064 single_by_cam[cam0=0.0059 cam1=0.0070 cam2=0.0065] distill_by_cam[cam0=0.0000 cam1=0.0001 cam2=0.0001]
[5400/50000] total=0.0132 ema=0.0140 full=0.0031 single=0.0065 distill=0.0004 distill_scale=1.000 single_recon_enabled=1 full_v0=0.0036 full_v1=0.0017 full_v2=0.0039 single_by_cam[cam0=0.0040 cam1=0.0079 cam2=0.0075] distill_by_cam[cam0=0.0000 cam1=0.0006 cam2=0.0006]
[5500/50000] total=0.0128 ema=0.0161 full=0.0032 single=0.0063 distill=0.0002 distill_scale=1.000 single_recon_enabled=1 full_v0=0.0036 full_v1=0.0019 full_v2=0.0041 single_by_cam[cam0=0.0042 cam1=0.0075 cam2=0.0071] distill_by_cam[cam0=0.0000 cam1=0.0003 cam2=0.0003]
[5600/50000] total=0.0140 ema=0.0148 full=0.0037 single=0.0067 distill=0.0002 distill_scale=1.000 single_recon_enabled=1 full_v0=0.0042 full_v1=0.0027 full_v2=0.0042 single_by_cam[cam0=0.0048 cam1=0.0079 cam2=0.0076] distill_by_cam[cam0=0.0000 cam1=0.0003 cam2=0.0003]
[5700/50000] total=0.0107 ema=0.0144 full=0.0031 single=0.0050 distill=0.0000 distill_scale=1.000 single_recon_enabled=1 full_v0=0.0034 full_v1=0.0017 full_v2=0.0043 single_by_cam[cam0=0.0042 cam1=0.0057 cam2=0.0052] distill_by_cam[cam0=0.0000 cam1=0.0000 cam2=0.0000]
[5800/50000] total=0.0099 ema=0.0143 full=0.0027 single=0.0048 distill=0.0000 distill_scale=1.000 single_recon_enabled=1 full_v0=0.0030 full_v1=0.0016 full_v2=0.0035 single_by_cam[cam0=0.0035 cam1=0.0056 cam2=0.0052] distill_by_cam[cam0=0.0000 cam1=0.0001 cam2=0.0001]
[5900/50000] total=0.0111 ema=0.0139 full=0.0032 single=0.0052 distill=0.0001 distill_scale=1.000 single_recon_enabled=1 full_v0=0.0031 full_v1=0.0021 full_v2=0.0043 single_by_cam[cam0=0.0043 cam1=0.0059 cam2=0.0056] distill_by_cam[cam0=0.0000 cam1=0.0001 cam2=0.0001]
