
=== curriculum ===
Command:
/home/medcvr/miniconda3/envs/vsmae/bin/python3.10 /home/medcvr/Desktop/hamza/multicam-vit/MultiModalViT/pretrain_vtmae.py --camera_names gripperPOV corner corner2 --frame_stack 3 --action_repeat 2 --patch_size 6 --batch_size 32 --log_every 100 --save_every 1000 --vis_every 10000 --steps 50000 --schedule default_3cam --out /home/medcvr/Desktop/hamza/multicam-vit/MultiModalViT/seq_runs/curriculum_20260329_173506/vtmae_curriculum_50000.pt --preview_dir /home/medcvr/Desktop/hamza/multicam-vit/MultiModalViT/seq_runs/curriculum_20260329_173506/previews
[VTMAE-3CAM] channels=9, views=3, size=(84,84)
[VTMAE-3CAM] cameras=['gripperPOV', 'corner', 'corner2']
VT-MAE: Multi-view ViT patch tokeniser (3-view dynamic masking)
[Params] MultiViewVST total: 2,240,648 | trainable: 2,240,648
[Params] MultiViewVSMAE total: 4,860,244 | trainable: 4,860,244
[Params breakdown] encoder=2,240,648 decoder=2,367,488 heads=249,804
[3300/50000] phase=A total=0.0040 ema=0.0040 recon=0.0038 align=0.0026 v0=0.0036 v1=0.0039 v2=0.0024 visible=0.0032 cross=0.0005 patterns(t/s)=29/3 mask(v0/v1/v2)=0.75/0.75/0.75
[3400/50000] phase=A total=0.0042 ema=0.0039 recon=0.0039 align=0.0034 v0=0.0043 v1=0.0033 v2=0.0027 visible=0.0032 cross=0.0005 patterns(t/s)=30/2 mask(v0/v1/v2)=0.75/0.75/0.75
[3500/50000] phase=A total=0.0039 ema=0.0039 recon=0.0039 align=0.0001 v0=0.0039 v1=0.0036 v2=0.0034 visible=0.0036 cross=0.0002 patterns(t/s)=30/2 mask(v0/v1/v2)=0.75/0.75/0.75
[3600/50000] phase=A total=0.0038 ema=0.0039 recon=0.0036 align=0.0024 v0=0.0032 v1=0.0032 v2=0.0028 visible=0.0029 cross=0.0006 patterns(t/s)=28/4 mask(v0/v1/v2)=0.75/0.75/0.75
[3700/50000] phase=A total=0.0047 ema=0.0041 recon=0.0046 align=0.0004 v0=0.0064 v1=0.0037 v2=0.0028 visible=0.0043 cross=0.0003 patterns(t/s)=30/2 mask(v0/v1/v2)=0.75/0.75/0.75
[3800/50000] phase=A total=0.0030 ema=0.0039 recon=0.0030 align=0.0000 v0=0.0031 v1=0.0036 v2=0.0021 visible=0.0030 cross=0.0001 patterns(t/s)=31/1 mask(v0/v1/v2)=0.75/0.75/0.75
[3900/50000] phase=A total=0.0058 ema=0.0039 recon=0.0058 align=0.0001 v0=0.0094 v1=0.0039 v2=0.0032 visible=0.0057 cross=0.0002 patterns(t/s)=30/2 mask(v0/v1/v2)=0.75/0.75/0.75
[4000/50000] phase=A total=0.0044 ema=0.0038 recon=0.0038 align=0.0054 v0=0.0043 v1=0.0033 v2=0.0023 visible=0.0031 cross=0.0006 patterns(t/s)=29/3 mask(v0/v1/v2)=0.75/0.75/0.75
[4100/50000] phase=A total=0.0027 ema=0.0037 recon=0.0025 align=0.0012 v0=0.0025 v1=0.0027 v2=0.0020 visible=0.0024 cross=0.0001 patterns(t/s)=31/1 mask(v0/v1/v2)=0.75/0.75/0.75
[4200/50000] phase=A total=0.0039 ema=0.0037 recon=0.0037 align=0.0025 v0=0.0053 v1=0.0027 v2=0.0018 visible=0.0031 cross=0.0005 patterns(t/s)=30/2 mask(v0/v1/v2)=0.75/0.75/0.75
