
=== joint ===
Command:
/home/medcvr/miniconda3/envs/vsmae/bin/python3.10 /home/medcvr/Desktop/hamza/multicam-vit/MultiModalViT/pretrain_vtmae_joint_distill.py --camera_names gripperPOV corner corner2 --frame_stack 3 --action_repeat 2 --patch_size 6 --batch_size 32 --log_every 100 --save_every 1000 --vis_every 10000 --steps 50000 --out /home/medcvr/Desktop/hamza/multicam-vit/MultiModalViT/seq_runs/joint_20260329_173506/vtmae_joint_distill_50000.pt --preview_dir /home/medcvr/Desktop/hamza/multicam-vit/MultiModalViT/seq_runs/joint_20260329_173506/previews
[JOINT-3CAM] channels=9, views=3, size=(84,84)
[JOINT-3CAM] cameras=['gripperPOV', 'corner', 'corner2']
[JOINT-3CAM] steps=50000 distill_mode=cosine single_recon=1 warmup=0
VT-MAE: Multi-view ViT patch tokeniser (3-view dynamic masking)
[Params] total=4,860,244 trainable=4,860,244
[Weights] full_recon=1.0 single_recon=1.0 distill=1.0
[2700/50000] total=0.0099 ema=0.0110 full=0.0041 single=0.0058 distill=0.0000 distill_scale=1.000 single_recon_enabled=1 full_v0=0.0069 full_v1=0.0032 full_v2=0.0022 single_by_cam[cam0=0.0048 cam1=0.0062 cam2=0.0064] distill_by_cam[cam0=0.0000 cam1=0.0001 cam2=0.0001]
[2800/50000] total=0.0097 ema=0.0109 full=0.0038 single=0.0058 distill=0.0001 distill_scale=1.000 single_recon_enabled=1 full_v0=0.0066 full_v1=0.0030 full_v2=0.0018 single_by_cam[cam0=0.0047 cam1=0.0063 cam2=0.0065] distill_by_cam[cam0=0.0000 cam1=0.0001 cam2=0.0001]
[2900/50000] total=0.0099 ema=0.0109 full=0.0039 single=0.0059 distill=0.0001 distill_scale=1.000 single_recon_enabled=1 full_v0=0.0061 full_v1=0.0034 full_v2=0.0022 single_by_cam[cam0=0.0049 cam1=0.0064 cam2=0.0066] distill_by_cam[cam0=0.0000 cam1=0.0001 cam2=0.0001]
[3000/50000] total=0.0108 ema=0.0109 full=0.0042 single=0.0065 distill=0.0001 distill_scale=1.000 single_recon_enabled=1 full_v0=0.0064 full_v1=0.0034 full_v2=0.0028 single_by_cam[cam0=0.0051 cam1=0.0072 cam2=0.0073] distill_by_cam[cam0=0.0000 cam1=0.0001 cam2=0.0001]
[3100/50000] total=0.0152 ema=0.0107 full=0.0055 single=0.0093 distill=0.0003 distill_scale=1.000 single_recon_enabled=1 full_v0=0.0069 full_v1=0.0061 full_v2=0.0035 single_by_cam[cam0=0.0072 cam1=0.0101 cam2=0.0106] distill_by_cam[cam0=0.0000 cam1=0.0005 cam2=0.0005]
[3200/50000] total=0.0091 ema=0.0104 full=0.0034 single=0.0056 distill=0.0001 distill_scale=1.000 single_recon_enabled=1 full_v0=0.0053 full_v1=0.0029 full_v2=0.0021 single_by_cam[cam0=0.0042 cam1=0.0062 cam2=0.0064] distill_by_cam[cam0=0.0000 cam1=0.0001 cam2=0.0001]
[3300/50000] total=0.0094 ema=0.0105 full=0.0036 single=0.0057 distill=0.0001 distill_scale=1.000 single_recon_enabled=1 full_v0=0.0045 full_v1=0.0041 full_v2=0.0023 single_by_cam[cam0=0.0047 cam1=0.0060 cam2=0.0063] distill_by_cam[cam0=0.0000 cam1=0.0001 cam2=0.0001]
[3400/50000] total=0.0125 ema=0.0101 full=0.0042 single=0.0080 distill=0.0003 distill_scale=1.000 single_recon_enabled=1 full_v0=0.0065 full_v1=0.0032 full_v2=0.0027 single_by_cam[cam0=0.0051 cam1=0.0094 cam2=0.0096] distill_by_cam[cam0=0.0000 cam1=0.0004 cam2=0.0005]
[3500/50000] total=0.0103 ema=0.0102 full=0.0040 single=0.0062 distill=0.0000 distill_scale=1.000 single_recon_enabled=1 full_v0=0.0049 full_v1=0.0037 full_v2=0.0035 single_by_cam[cam0=0.0052 cam1=0.0067 cam2=0.0068] distill_by_cam[cam0=0.0000 cam1=0.0001 cam2=0.0001]
[3600/50000] total=0.0089 ema=0.0101 full=0.0034 single=0.0054 distill=0.0000 distill_scale=1.000 single_recon_enabled=1 full_v0=0.0037 full_v1=0.0036 full_v2=0.0029 single_by_cam[cam0=0.0045 cam1=0.0058 cam2=0.0060] distill_by_cam[cam0=0.0000 cam1=0.0001 cam2=0.0001]
[3700/50000] total=0.0117 ema=0.0102 full=0.0046 single=0.0070 distill=0.0001 distill_scale=1.000 single_recon_enabled=1 full_v0=0.0072 full_v1=0.0038 full_v2=0.0027 single_by_cam[cam0=0.0059 cam1=0.0074 cam2=0.0077] distill_by_cam[cam0=0.0000 cam1=0.0001 cam2=0.0001]
[3800/50000] total=0.0081 ema=0.0100 full=0.0031 single=0.0049 distill=0.0001 distill_scale=1.000 single_recon_enabled=1 full_v0=0.0036 full_v1=0.0038 full_v2=0.0019 single_by_cam[cam0=0.0041 cam1=0.0052 cam2=0.0055] distill_by_cam[cam0=0.0000 cam1=0.0001 cam2=0.0001]
[3900/50000] total=0.0142 ema=0.0100 full=0.0057 single=0.0084 distill=0.0001 distill_scale=1.000 single_recon_enabled=1 full_v0=0.0099 full_v1=0.0042 full_v2=0.0031 single_by_cam[cam0=0.0069 cam1=0.0091 cam2=0.0092] distill_by_cam[cam0=0.0000 cam1=0.0001 cam2=0.0001]
[4000/50000] total=0.0104 ema=0.0099 full=0.0034 single=0.0067 distill=0.0002 distill_scale=1.000 single_recon_enabled=1 full_v0=0.0048 full_v1=0.0033 full_v2=0.0023 single_by_cam[cam0=0.0044 cam1=0.0079 cam2=0.0080] distill_by_cam[cam0=0.0000 cam1=0.0002 cam2=0.0002]
[4100/50000] total=0.0071 ema=0.0097 full=0.0027 single=0.0044 distill=0.0000 distill_scale=1.000 single_recon_enabled=1 full_v0=0.0031 full_v1=0.0029 full_v2=0.0021 single_by_cam[cam0=0.0035 cam1=0.0048 cam2=0.0049] distill_by_cam[cam0=0.0000 cam1=0.0001 cam2=0.0000]
[4200/50000] total=0.0096 ema=0.0098 full=0.0034 single=0.0062 distill=0.0000 distill_scale=1.000 single_recon_enabled=1 full_v0=0.0056 full_v1=0.0029 full_v2=0.0017 single_by_cam[cam0=0.0041 cam1=0.0072 cam2=0.0073] distill_by_cam[cam0=0.0000 cam1=0.0001 cam2=0.0001]
[4300/50000] total=0.0134 ema=0.0098 full=0.0046 single=0.0086 distill=0.0002 distill_scale=1.000 single_recon_enabled=1 full_v0=0.0069 full_v1=0.0034 full_v2=0.0034 single_by_cam[cam0=0.0056 cam1=0.0101 cam2=0.0100] distill_by_cam[cam0=0.0000 cam1=0.0003 cam2=0.0003]
[4400/50000] total=0.0094 ema=0.0096 full=0.0032 single=0.0061 distill=0.0001 distill_scale=1.000 single_recon_enabled=1 full_v0=0.0054 full_v1=0.0026 full_v2=0.0017 single_by_cam[cam0=0.0040 cam1=0.0072 cam2=0.0072] distill_by_cam[cam0=0.0000 cam1=0.0001 cam2=0.0001]
